,duration,emp.var.rate,euribor3m,nr.employed,pdays,poutcome_success,previous,y_yes
44,188,1.1,4.857,5191.0,999,0,0,0
45,22,1.1,4.857,5191.0,999,0,0,0
46,616,1.1,4.857,5191.0,999,0,0,0
47,178,1.1,4.857,5191.0,999,0,0,0
48,355,1.1,4.857,5191.0,999,0,0,0
49,225,1.1,4.857,5191.0,999,0,0,0
50,160,1.1,4.857,5191.0,999,0,0,0
51,266,1.1,4.857,5191.0,999,0,0,0
52,253,1.1,4.857,5191.0,999,0,0,0
53,179,1.1,4.857,5191.0,999,0,0,0
54,269,1.1,4.857,5191.0,999,0,0,0
55,135,1.1,4.857,5191.0,999,0,0,0
56,161,1.1,4.857,5191.0,999,0,0,0
57,787,1.1,4.857,5191.0,999,0,0,0
58,145,1.1,4.857,5191.0,999,0,0,0
59,174,1.1,4.857,5191.0,999,0,0,0
60,449,1.1,4.857,5191.0,999,0,0,0
61,812,1.1,4.857,5191.0,999,0,0,0
62,164,1.1,4.857,5191.0,999,0,0,0
63,366,1.1,4.857,5191.0,999,0,0,0
64,357,1.1,4.857,5191.0,999,0,0,0
65,232,1.1,4.857,5191.0,999,0,0,0
66,91,1.1,4.857,5191.0,999,0,0,0
67,273,1.1,4.857,5191.0,999,0,0,0
68,158,1.1,4.857,5191.0,999,0,0,0
69,177,1.1,4.857,5191.0,999,0,0,0
70,200,1.1,4.857,5191.0,999,0,0,0
71,172,1.1,4.857,5191.0,999,0,0,0
72,176,1.1,4.857,5191.0,999,0,0,0
73,211,1.1,4.857,5191.0,999,0,0,0
74,214,1.1,4.857,5191.0,999,0,0,0
75,1575,1.1,4.857,5191.0,999,0,0,1
76,349,1.1,4.857,5191.0,999,0,0,0
77,337,1.1,4.857,5191.0,999,0,0,0
78,272,1.1,4.857,5191.0,999,0,0,0
79,208,1.1,4.857,5191.0,999,0,0,0
80,193,1.1,4.857,5191.0,999,0,0,0
81,212,1.1,4.857,5191.0,999,0,0,0
82,165,1.1,4.857,5191.0,999,0,0,0
83,1042,1.1,4.857,5191.0,999,0,0,1
84,20,1.1,4.857,5191.0,999,0,0,0
85,246,1.1,4.857,5191.0,999,0,0,0
86,529,1.1,4.857,5191.0,999,0,0,0
87,192,1.1,4.857,5191.0,999,0,0,0
88,1467,1.1,4.857,5191.0,999,0,0,1
89,188,1.1,4.857,5191.0,999,0,0,0
90,180,1.1,4.857,5191.0,999,0,0,0
91,48,1.1,4.857,5191.0,999,0,0,0
92,213,1.1,4.857,5191.0,999,0,0,0
93,545,1.1,4.857,5191.0,999,0,0,0
94,583,1.1,4.857,5191.0,999,0,0,0
95,221,1.1,4.857,5191.0,999,0,0,0
96,426,1.1,4.857,5191.0,999,0,0,0
97,287,1.1,4.857,5191.0,999,0,0,0
98,197,1.1,4.857,5191.0,999,0,0,0
99,257,1.1,4.857,5191.0,999,0,0,0
100,229,1.1,4.857,5191.0,999,0,0,0
101,55,1.1,4.857,5191.0,999,0,0,0
102,400,1.1,4.857,5191.0,999,0,0,0
103,197,1.1,4.857,5191.0,999,0,0,0
104,190,1.1,4.857,5191.0,999,0,0,0
105,21,1.1,4.857,5191.0,999,0,0,0
106,300,1.1,4.857,5191.0,999,0,0,0
107,123,1.1,4.857,5191.0,999,0,0,0
108,293,1.1,4.857,5191.0,999,0,0,0
109,325,1.1,4.857,5191.0,999,0,0,0
110,514,1.1,4.857,5191.0,999,0,0,0
111,849,1.1,4.857,5191.0,999,0,0,0
112,194,1.1,4.857,5191.0,999,0,0,0
113,212,1.1,4.857,5191.0,999,0,0,0
114,337,1.1,4.857,5191.0,999,0,0,0
115,286,1.1,4.857,5191.0,999,0,0,0
116,247,1.1,4.857,5191.0,999,0,0,0
117,518,1.1,4.857,5191.0,999,0,0,0
118,364,1.1,4.857,5191.0,999,0,0,0
119,178,1.1,4.857,5191.0,999,0,0,0
120,98,1.1,4.857,5191.0,999,0,0,0
121,439,1.1,4.857,5191.0,999,0,0,0
122,139,1.1,4.857,5191.0,999,0,0,0
123,79,1.1,4.857,5191.0,999,0,0,0
124,175,1.1,4.857,5191.0,999,0,0,0
125,262,1.1,4.857,5191.0,999,0,0,0
126,61,1.1,4.857,5191.0,999,0,0,0
127,78,1.1,4.857,5191.0,999,0,0,0
128,102,1.1,4.857,5191.0,999,0,0,0
129,579,1.1,4.857,5191.0,999,0,0,1
130,143,1.1,4.857,5191.0,999,0,0,0
131,677,1.1,4.857,5191.0,999,0,0,0
132,267,1.1,4.857,5191.0,999,0,0,0
133,345,1.1,4.857,5191.0,999,0,0,0
134,185,1.1,4.857,5191.0,999,0,0,0
135,207,1.1,4.857,5191.0,999,0,0,0
136,69,1.1,4.857,5191.0,999,0,0,0
137,100,1.1,4.857,5191.0,999,0,0,0
138,125,1.1,4.857,5191.0,999,0,0,0
139,461,1.1,4.857,5191.0,999,0,0,1
140,240,1.1,4.857,5191.0,999,0,0,0
141,70,1.1,4.857,5191.0,999,0,0,0
142,193,1.1,4.857,5191.0,999,0,0,0
143,136,1.1,4.857,5191.0,999,0,0,0
144,73,1.1,4.857,5191.0,999,0,0,0
145,528,1.1,4.857,5191.0,999,0,0,0
146,541,1.1,4.857,5191.0,999,0,0,0
147,338,1.1,4.857,5191.0,999,0,0,0
148,163,1.1,4.857,5191.0,999,0,0,0
149,87,1.1,4.857,5191.0,999,0,0,0
150,301,1.1,4.857,5191.0,999,0,0,0
151,46,1.1,4.857,5191.0,999,0,0,0
152,52,1.1,4.857,5191.0,999,0,0,0
153,204,1.1,4.857,5191.0,999,0,0,0
154,155,1.1,4.857,5191.0,999,0,0,0
155,98,1.1,4.857,5191.0,999,0,0,0
156,71,1.1,4.857,5191.0,999,0,0,0
157,243,1.1,4.857,5191.0,999,0,0,0
158,186,1.1,4.857,5191.0,999,0,0,0
159,579,1.1,4.857,5191.0,999,0,0,0
160,165,1.1,4.857,5191.0,999,0,0,0
161,163,1.1,4.857,5191.0,999,0,0,0
162,46,1.1,4.857,5191.0,999,0,0,0
163,559,1.1,4.857,5191.0,999,0,0,0
164,2033,1.1,4.857,5191.0,999,0,0,0
165,85,1.1,4.857,5191.0,999,0,0,0
166,506,1.1,4.857,5191.0,999,0,0,0
167,114,1.1,4.857,5191.0,999,0,0,0
168,114,1.1,4.857,5191.0,999,0,0,0
169,843,1.1,4.857,5191.0,999,0,0,0
170,181,1.1,4.857,5191.0,999,0,0,0
171,427,1.1,4.857,5191.0,999,0,0,0
172,292,1.1,4.857,5191.0,999,0,0,0
173,192,1.1,4.857,5191.0,999,0,0,0
174,93,1.1,4.857,5191.0,999,0,0,0
175,128,1.1,4.857,5191.0,999,0,0,0
176,107,1.1,4.857,5191.0,999,0,0,0
177,303,1.1,4.857,5191.0,999,0,0,0
178,81,1.1,4.857,5191.0,999,0,0,0
179,270,1.1,4.857,5191.0,999,0,0,0
180,228,1.1,4.857,5191.0,999,0,0,0
181,240,1.1,4.857,5191.0,999,0,0,0
182,673,1.1,4.857,5191.0,999,0,0,1
183,233,1.1,4.857,5191.0,999,0,0,0
184,102,1.1,4.857,5191.0,999,0,0,0
185,461,1.1,4.857,5191.0,999,0,0,0
186,250,1.1,4.857,5191.0,999,0,0,0
187,130,1.1,4.857,5191.0,999,0,0,0
188,252,1.1,4.857,5191.0,999,0,0,0
189,138,1.1,4.857,5191.0,999,0,0,0
190,412,1.1,4.857,5191.0,999,0,0,0
191,179,1.1,4.857,5191.0,999,0,0,0
192,19,1.1,4.857,5191.0,999,0,0,0
193,228,1.1,4.857,5191.0,999,0,0,0
194,55,1.1,4.857,5191.0,999,0,0,0
195,717,1.1,4.857,5191.0,999,0,0,0
196,313,1.1,4.857,5191.0,999,0,0,0
197,289,1.1,4.857,5191.0,999,0,0,0
198,683,1.1,4.857,5191.0,999,0,0,0
199,1077,1.1,4.857,5191.0,999,0,0,0
200,146,1.1,4.857,5191.0,999,0,0,0
201,167,1.1,4.857,5191.0,999,0,0,0
202,356,1.1,4.857,5191.0,999,0,0,0
203,277,1.1,4.857,5191.0,999,0,0,0
204,172,1.1,4.857,5191.0,999,0,0,0
205,218,1.1,4.857,5191.0,999,0,0,0
206,217,1.1,4.857,5191.0,999,0,0,0
207,67,1.1,4.857,5191.0,999,0,0,0
208,291,1.1,4.857,5191.0,999,0,0,0
209,248,1.1,4.857,5191.0,999,0,0,0
210,256,1.1,4.857,5191.0,999,0,0,0
211,286,1.1,4.857,5191.0,999,0,0,0
212,477,1.1,4.857,5191.0,999,0,0,0
213,611,1.1,4.857,5191.0,999,0,0,0
214,471,1.1,4.857,5191.0,999,0,0,0
215,381,1.1,4.857,5191.0,999,0,0,0
216,251,1.1,4.857,5191.0,999,0,0,0
217,408,1.1,4.857,5191.0,999,0,0,0
218,287,1.1,4.857,5191.0,999,0,0,0
219,322,1.1,4.857,5191.0,999,0,0,0
220,216,1.1,4.857,5191.0,999,0,0,0
221,366,1.1,4.857,5191.0,999,0,0,0
222,210,1.1,4.857,5191.0,999,0,0,0
223,288,1.1,4.857,5191.0,999,0,0,0
224,168,1.1,4.857,5191.0,999,0,0,0
225,132,1.1,4.857,5191.0,999,0,0,0
226,64,1.1,4.857,5191.0,999,0,0,0
227,209,1.1,4.857,5191.0,999,0,0,0
228,410,1.1,4.857,5191.0,999,0,0,0
229,177,1.1,4.857,5191.0,999,0,0,0
230,580,1.1,4.857,5191.0,999,0,0,0
231,165,1.1,4.857,5191.0,999,0,0,0
232,127,1.1,4.857,5191.0,999,0,0,0
233,357,1.1,4.857,5191.0,999,0,0,0
234,175,1.1,4.857,5191.0,999,0,0,0
235,300,1.1,4.857,5191.0,999,0,0,0
236,136,1.1,4.857,5191.0,999,0,0,0
237,125,1.1,4.857,5191.0,999,0,0,0
238,189,1.1,4.857,5191.0,999,0,0,0
239,213,1.1,4.857,5191.0,999,0,0,0
240,238,1.1,4.857,5191.0,999,0,0,0
241,124,1.1,4.857,5191.0,999,0,0,0
242,18,1.1,4.857,5191.0,999,0,0,0
243,730,1.1,4.857,5191.0,999,0,0,0
244,40,1.1,4.857,5191.0,999,0,0,0
245,181,1.1,4.857,5191.0,999,0,0,0
246,79,1.1,4.857,5191.0,999,0,0,0
247,142,1.1,4.857,5191.0,999,0,0,0
248,389,1.1,4.857,5191.0,999,0,0,0
249,702,1.1,4.857,5191.0,999,0,0,0
250,151,1.1,4.857,5191.0,999,0,0,0
251,211,1.1,4.857,5191.0,999,0,0,0
252,117,1.1,4.857,5191.0,999,0,0,0
253,232,1.1,4.857,5191.0,999,0,0,0
254,408,1.1,4.857,5191.0,999,0,0,0
255,370,1.1,4.857,5191.0,999,0,0,0
256,179,1.1,4.857,5191.0,999,0,0,0
257,46,1.1,4.857,5191.0,999,0,0,0
258,200,1.1,4.857,5191.0,999,0,0,0
259,50,1.1,4.857,5191.0,999,0,0,0
260,181,1.1,4.857,5191.0,999,0,0,0
261,119,1.1,4.857,5191.0,999,0,0,0
262,361,1.1,4.857,5191.0,999,0,0,0
263,73,1.1,4.857,5191.0,999,0,0,0
264,67,1.1,4.857,5191.0,999,0,0,0
265,350,1.1,4.857,5191.0,999,0,0,0
266,150,1.1,4.857,5191.0,999,0,0,0
267,332,1.1,4.857,5191.0,999,0,0,0
268,611,1.1,4.857,5191.0,999,0,0,0
269,58,1.1,4.857,5191.0,999,0,0,0
270,151,1.1,4.857,5191.0,999,0,0,0
271,89,1.1,4.857,5191.0,999,0,0,0
272,152,1.1,4.857,5191.0,999,0,0,0
273,611,1.1,4.857,5191.0,999,0,0,0
274,110,1.1,4.857,5191.0,999,0,0,0
275,463,1.1,4.857,5191.0,999,0,0,0
276,962,1.1,4.857,5191.0,999,0,0,0
277,102,1.1,4.857,5191.0,999,0,0,0
278,10,1.1,4.857,5191.0,999,0,0,0
279,118,1.1,4.857,5191.0,999,0,0,0
280,92,1.1,4.857,5191.0,999,0,0,0
281,143,1.1,4.857,5191.0,999,0,0,0
282,189,1.1,4.857,5191.0,999,0,0,0
283,75,1.1,4.857,5191.0,999,0,0,0
284,189,1.1,4.857,5191.0,999,0,0,0
285,55,1.1,4.857,5191.0,999,0,0,0
286,935,1.1,4.857,5191.0,999,0,0,1
287,56,1.1,4.857,5191.0,999,0,0,0
288,5,1.1,4.857,5191.0,999,0,0,0
289,225,1.1,4.857,5191.0,999,0,0,0
290,125,1.1,4.857,5191.0,999,0,0,0
291,286,1.1,4.857,5191.0,999,0,0,0
292,206,1.1,4.857,5191.0,999,0,0,0
293,164,1.1,4.857,5191.0,999,0,0,0
294,98,1.1,4.857,5191.0,999,0,0,0
295,446,1.1,4.857,5191.0,999,0,0,0
296,742,1.1,4.857,5191.0,999,0,0,0
297,120,1.1,4.857,5191.0,999,0,0,0
298,122,1.1,4.857,5191.0,999,0,0,0
299,362,1.1,4.857,5191.0,999,0,0,0
300,357,1.1,4.857,5191.0,999,0,0,0
301,200,1.1,4.857,5191.0,999,0,0,0
302,107,1.1,4.857,5191.0,999,0,0,0
303,267,1.1,4.857,5191.0,999,0,0,0
304,248,1.1,4.857,5191.0,999,0,0,0
305,215,1.1,4.857,5191.0,999,0,0,0
306,209,1.1,4.857,5191.0,999,0,0,0
307,205,1.1,4.857,5191.0,999,0,0,0
308,261,1.1,4.857,5191.0,999,0,0,0
309,83,1.1,4.857,5191.0,999,0,0,0
310,106,1.1,4.857,5191.0,999,0,0,0
311,106,1.1,4.857,5191.0,999,0,0,0
312,108,1.1,4.857,5191.0,999,0,0,0
313,214,1.1,4.857,5191.0,999,0,0,0
314,358,1.1,4.857,5191.0,999,0,0,0
315,453,1.1,4.857,5191.0,999,0,0,0
316,364,1.1,4.857,5191.0,999,0,0,0
317,136,1.1,4.857,5191.0,999,0,0,0
318,173,1.1,4.857,5191.0,999,0,0,0
319,241,1.1,4.857,5191.0,999,0,0,0
320,224,1.1,4.857,5191.0,999,0,0,0
321,148,1.1,4.857,5191.0,999,0,0,0
322,230,1.1,4.857,5191.0,999,0,0,0
323,199,1.1,4.857,5191.0,999,0,0,0
324,196,1.1,4.857,5191.0,999,0,0,0
325,111,1.1,4.857,5191.0,999,0,0,0
326,231,1.1,4.857,5191.0,999,0,0,0
327,316,1.1,4.857,5191.0,999,0,0,0
328,240,1.1,4.857,5191.0,999,0,0,0
329,669,1.1,4.857,5191.0,999,0,0,0
330,425,1.1,4.857,5191.0,999,0,0,0
331,121,1.1,4.857,5191.0,999,0,0,0
332,174,1.1,4.857,5191.0,999,0,0,0
333,88,1.1,4.857,5191.0,999,0,0,0
334,313,1.1,4.857,5191.0,999,0,0,0
335,135,1.1,4.857,5191.0,999,0,0,0
336,152,1.1,4.857,5191.0,999,0,0,0
337,402,1.1,4.857,5191.0,999,0,0,0
338,221,1.1,4.857,5191.0,999,0,0,0
339,213,1.1,4.857,5191.0,999,0,0,0
340,144,1.1,4.857,5191.0,999,0,0,0
341,158,1.1,4.857,5191.0,999,0,0,0
342,220,1.1,4.857,5191.0,999,0,0,0
343,325,1.1,4.857,5191.0,999,0,0,0
344,254,1.1,4.857,5191.0,999,0,0,0
345,503,1.1,4.857,5191.0,999,0,0,0
346,680,1.1,4.857,5191.0,999,0,0,0
347,421,1.1,4.857,5191.0,999,0,0,0
348,130,1.1,4.857,5191.0,999,0,0,0
349,164,1.1,4.857,5191.0,999,0,0,0
350,174,1.1,4.857,5191.0,999,0,0,0
351,113,1.1,4.857,5191.0,999,0,0,0
352,195,1.1,4.857,5191.0,999,0,0,0
353,347,1.1,4.857,5191.0,999,0,0,0
354,208,1.1,4.857,5191.0,999,0,0,0
355,404,1.1,4.857,5191.0,999,0,0,0
356,396,1.1,4.857,5191.0,999,0,0,0
357,98,1.1,4.857,5191.0,999,0,0,0
358,229,1.1,4.857,5191.0,999,0,0,0
359,350,1.1,4.857,5191.0,999,0,0,0
360,88,1.1,4.857,5191.0,999,0,0,0
361,379,1.1,4.857,5191.0,999,0,0,0
362,168,1.1,4.857,5191.0,999,0,0,0
363,190,1.1,4.857,5191.0,999,0,0,0
364,158,1.1,4.857,5191.0,999,0,0,0
365,210,1.1,4.857,5191.0,999,0,0,0
366,102,1.1,4.857,5191.0,999,0,0,0
367,306,1.1,4.857,5191.0,999,0,0,0
368,64,1.1,4.857,5191.0,999,0,0,0
369,218,1.1,4.857,5191.0,999,0,0,0
370,77,1.1,4.857,5191.0,999,0,0,0
371,54,1.1,4.857,5191.0,999,0,0,0
372,344,1.1,4.857,5191.0,999,0,0,0
373,195,1.1,4.857,5191.0,999,0,0,0
374,202,1.1,4.857,5191.0,999,0,0,0
375,286,1.1,4.857,5191.0,999,0,0,0
376,278,1.1,4.857,5191.0,999,0,0,0
377,189,1.1,4.857,5191.0,999,0,0,0
378,83,1.1,4.857,5191.0,999,0,0,0
379,18,1.1,4.857,5191.0,999,0,0,0
380,184,1.1,4.857,5191.0,999,0,0,0
381,235,1.1,4.857,5191.0,999,0,0,0
382,290,1.1,4.857,5191.0,999,0,0,0
383,133,1.1,4.857,5191.0,999,0,0,0
384,318,1.1,4.857,5191.0,999,0,0,0
385,437,1.1,4.857,5191.0,999,0,0,0
386,402,1.1,4.857,5191.0,999,0,0,0
387,501,1.1,4.857,5191.0,999,0,0,0
388,1201,1.1,4.857,5191.0,999,0,0,1
389,1030,1.1,4.857,5191.0,999,0,0,1
390,253,1.1,4.857,5191.0,999,0,0,0
391,149,1.1,4.857,5191.0,999,0,0,0
392,144,1.1,4.857,5191.0,999,0,0,0
393,69,1.1,4.857,5191.0,999,0,0,0
394,243,1.1,4.857,5191.0,999,0,0,0
395,769,1.1,4.857,5191.0,999,0,0,0
396,135,1.1,4.857,5191.0,999,0,0,0
397,231,1.1,4.857,5191.0,999,0,0,0
398,442,1.1,4.857,5191.0,999,0,0,0
399,199,1.1,4.857,5191.0,999,0,0,0
400,455,1.1,4.857,5191.0,999,0,0,0
401,152,1.1,4.857,5191.0,999,0,0,0
402,124,1.1,4.857,5191.0,999,0,0,0
403,424,1.1,4.857,5191.0,999,0,0,0
404,43,1.1,4.857,5191.0,999,0,0,0
405,154,1.1,4.857,5191.0,999,0,0,0
406,393,1.1,4.857,5191.0,999,0,0,0
407,203,1.1,4.857,5191.0,999,0,0,0
408,140,1.1,4.857,5191.0,999,0,0,0
409,326,1.1,4.857,5191.0,999,0,0,0
410,483,1.1,4.857,5191.0,999,0,0,0
411,259,1.1,4.857,5191.0,999,0,0,0
412,227,1.1,4.857,5191.0,999,0,0,0
413,673,1.1,4.857,5191.0,999,0,0,0
414,576,1.1,4.857,5191.0,999,0,0,0
415,180,1.1,4.857,5191.0,999,0,0,0
416,90,1.1,4.857,5191.0,999,0,0,0
417,505,1.1,4.857,5191.0,999,0,0,0
418,245,1.1,4.857,5191.0,999,0,0,0
419,186,1.1,4.857,5191.0,999,0,0,0
420,208,1.1,4.857,5191.0,999,0,0,0
421,623,1.1,4.857,5191.0,999,0,0,0
422,180,1.1,4.857,5191.0,999,0,0,0
423,496,1.1,4.857,5191.0,999,0,0,0
424,118,1.1,4.857,5191.0,999,0,0,0
425,102,1.1,4.857,5191.0,999,0,0,0
426,342,1.1,4.857,5191.0,999,0,0,0
427,225,1.1,4.857,5191.0,999,0,0,0
428,185,1.1,4.857,5191.0,999,0,0,0
429,276,1.1,4.857,5191.0,999,0,0,0
430,87,1.1,4.857,5191.0,999,0,0,0
431,744,1.1,4.857,5191.0,999,0,0,0
432,262,1.1,4.857,5191.0,999,0,0,0
433,271,1.1,4.857,5191.0,999,0,0,0
434,141,1.1,4.857,5191.0,999,0,0,0
435,198,1.1,4.857,5191.0,999,0,0,0
436,150,1.1,4.857,5191.0,999,0,0,0
437,241,1.1,4.857,5191.0,999,0,0,0
438,196,1.1,4.857,5191.0,999,0,0,0
439,149,1.1,4.857,5191.0,999,0,0,0
440,264,1.1,4.857,5191.0,999,0,0,0
441,246,1.1,4.857,5191.0,999,0,0,0
442,309,1.1,4.857,5191.0,999,0,0,0
443,140,1.1,4.857,5191.0,999,0,0,0
444,175,1.1,4.857,5191.0,999,0,0,0
445,136,1.1,4.857,5191.0,999,0,0,0
446,1623,1.1,4.857,5191.0,999,0,0,1
447,50,1.1,4.857,5191.0,999,0,0,0
448,101,1.1,4.857,5191.0,999,0,0,0
449,144,1.1,4.857,5191.0,999,0,0,0
450,238,1.1,4.857,5191.0,999,0,0,0
451,354,1.1,4.857,5191.0,999,0,0,0
452,451,1.1,4.857,5191.0,999,0,0,0
453,159,1.1,4.857,5191.0,999,0,0,0
454,170,1.1,4.857,5191.0,999,0,0,0
455,243,1.1,4.857,5191.0,999,0,0,0
456,141,1.1,4.857,5191.0,999,0,0,0
457,112,1.1,4.857,5191.0,999,0,0,0
458,262,1.1,4.857,5191.0,999,0,0,0
459,53,1.1,4.857,5191.0,999,0,0,0
460,134,1.1,4.857,5191.0,999,0,0,0
461,204,1.1,4.857,5191.0,999,0,0,0
462,678,1.1,4.857,5191.0,999,0,0,0
463,182,1.1,4.857,5191.0,999,0,0,0
464,162,1.1,4.857,5191.0,999,0,0,0
465,177,1.1,4.857,5191.0,999,0,0,0
466,27,1.1,4.857,5191.0,999,0,0,0
467,699,1.1,4.857,5191.0,999,0,0,0
468,358,1.1,4.857,5191.0,999,0,0,0
469,1677,1.1,4.857,5191.0,999,0,0,1
470,529,1.1,4.857,5191.0,999,0,0,0
471,310,1.1,4.857,5191.0,999,0,0,0
472,47,1.1,4.857,5191.0,999,0,0,0
473,379,1.1,4.857,5191.0,999,0,0,0
474,30,1.1,4.857,5191.0,999,0,0,0
475,472,1.1,4.857,5191.0,999,0,0,0
476,113,1.1,4.857,5191.0,999,0,0,0
477,114,1.1,4.857,5191.0,999,0,0,0
478,116,1.1,4.857,5191.0,999,0,0,0
479,448,1.1,4.857,5191.0,999,0,0,0
480,264,1.1,4.857,5191.0,999,0,0,0
481,169,1.1,4.857,5191.0,999,0,0,0
482,145,1.1,4.857,5191.0,999,0,0,0
483,288,1.1,4.857,5191.0,999,0,0,0
484,381,1.1,4.857,5191.0,999,0,0,0
485,176,1.1,4.857,5191.0,999,0,0,0
486,215,1.1,4.857,5191.0,999,0,0,0
487,278,1.1,4.857,5191.0,999,0,0,0
488,188,1.1,4.857,5191.0,999,0,0,0
489,174,1.1,4.857,5191.0,999,0,0,0
490,226,1.1,4.857,5191.0,999,0,0,0
491,111,1.1,4.857,5191.0,999,0,0,0
492,157,1.1,4.857,5191.0,999,0,0,0
493,46,1.1,4.857,5191.0,999,0,0,0
494,49,1.1,4.857,5191.0,999,0,0,0
495,374,1.1,4.857,5191.0,999,0,0,0
496,349,1.1,4.857,5191.0,999,0,0,0
497,325,1.1,4.857,5191.0,999,0,0,0
498,233,1.1,4.857,5191.0,999,0,0,0
499,531,1.1,4.857,5191.0,999,0,0,0
500,153,1.1,4.857,5191.0,999,0,0,0
501,80,1.1,4.857,5191.0,999,0,0,0
502,198,1.1,4.857,5191.0,999,0,0,0
503,568,1.1,4.857,5191.0,999,0,0,0
504,918,1.1,4.857,5191.0,999,0,0,1
505,82,1.1,4.857,5191.0,999,0,0,0
506,198,1.1,4.857,5191.0,999,0,0,0
507,211,1.1,4.857,5191.0,999,0,0,0
508,120,1.1,4.857,5191.0,999,0,0,0
509,269,1.1,4.857,5191.0,999,0,0,0
510,128,1.1,4.857,5191.0,999,0,0,0
511,166,1.1,4.857,5191.0,999,0,0,0
512,211,1.1,4.857,5191.0,999,0,0,0
513,369,1.1,4.857,5191.0,999,0,0,0
514,91,1.1,4.857,5191.0,999,0,0,0
515,267,1.1,4.857,5191.0,999,0,0,0
516,198,1.1,4.857,5191.0,999,0,0,0
517,371,1.1,4.857,5191.0,999,0,0,0
518,288,1.1,4.857,5191.0,999,0,0,0
519,221,1.1,4.857,5191.0,999,0,0,0
520,427,1.1,4.857,5191.0,999,0,0,0
521,310,1.1,4.857,5191.0,999,0,0,0
522,158,1.1,4.857,5191.0,999,0,0,0
523,198,1.1,4.857,5191.0,999,0,0,0
524,145,1.1,4.857,5191.0,999,0,0,0
525,247,1.1,4.857,5191.0,999,0,0,0
526,102,1.1,4.857,5191.0,999,0,0,0
527,179,1.1,4.857,5191.0,999,0,0,0
528,73,1.1,4.857,5191.0,999,0,0,0
529,263,1.1,4.857,5191.0,999,0,0,0
530,342,1.1,4.857,5191.0,999,0,0,0
531,41,1.1,4.857,5191.0,999,0,0,0
532,13,1.1,4.857,5191.0,999,0,0,0
533,79,1.1,4.857,5191.0,999,0,0,0
534,358,1.1,4.857,5191.0,999,0,0,0
535,162,1.1,4.857,5191.0,999,0,0,0
536,150,1.1,4.857,5191.0,999,0,0,0
537,26,1.1,4.857,5191.0,999,0,0,0
538,250,1.1,4.857,5191.0,999,0,0,0
539,792,1.1,4.857,5191.0,999,0,0,0
540,146,1.1,4.857,5191.0,999,0,0,0
541,440,1.1,4.857,5191.0,999,0,0,0
542,289,1.1,4.857,5191.0,999,0,0,0
543,242,1.1,4.857,5191.0,999,0,0,0
544,123,1.1,4.857,5191.0,999,0,0,0
545,161,1.1,4.857,5191.0,999,0,0,0
546,268,1.1,4.857,5191.0,999,0,0,0
547,259,1.1,4.857,5191.0,999,0,0,0
548,26,1.1,4.857,5191.0,999,0,0,0
549,153,1.1,4.857,5191.0,999,0,0,0
550,424,1.1,4.857,5191.0,999,0,0,0
551,375,1.1,4.857,5191.0,999,0,0,0
552,179,1.1,4.857,5191.0,999,0,0,0
553,383,1.1,4.857,5191.0,999,0,0,0
554,440,1.1,4.857,5191.0,999,0,0,0
555,195,1.1,4.857,5191.0,999,0,0,0
